year,Year,rcp4.5,rcp8.5
1/1/2006,2006,0.657916193,0.801510484
1/1/2007,2007,1.645036568,0.772989193
1/1/2008,2008,0.050607651,0.773060276
1/1/2009,2009,0.165517693,1.204146568
1/1/2010,2010,-0.089409599,0.498085651
1/1/2011,2011,0.898524401,0.538413276
1/1/2012,2012,-0.067145807,0.347261359
1/1/2013,2013,1.265361068,0.948664859
1/1/2014,2014,0.475793693,0.322383151
1/1/2015,2015,0.123762068,0.967228526
1/1/2016,2016,0.248422568,1.767872401
1/1/2017,2017,1.096137276,1.924257193
1/1/2018,2018,1.175018818,0.197950401
1/1/2019,2019,0.414073109,1.061022859
1/1/2020,2020,0.054100568,0.042554734
1/1/2021,2021,1.312188984,0.132856193
1/1/2022,2022,0.055112818,1.888134568
1/1/2023,2023,0.761182651,1.192333776
1/1/2024,2024,1.600333443,2.034246359
1/1/2025,2025,0.872550276,1.518654443
1/1/2026,2026,1.411953526,1.877531068
1/1/2027,2027,1.036630484,0.800860609
1/1/2028,2028,1.050485401,-0.255664307
1/1/2029,2029,0.976589693,0.455435943
1/1/2030,2030,0.796296984,2.263807276
1/1/2031,2031,1.566958693,0.925685193
1/1/2032,2032,1.653151776,2.444284401
1/1/2033,2033,0.970539651,2.101545151
1/1/2034,2034,2.100747984,0.166732068
1/1/2035,2035,2.049127484,1.019079109
1/1/2036,2036,-0.012542141,1.138362318
1/1/2037,2037,1.176984609,2.482346234
1/1/2038,2038,1.667168234,2.452282484
1/1/2039,2039,2.420429734,1.771544693
1/1/2040,2040,2.451433151,-0.089503766
1/1/2041,2041,1.889387068,1.355873609
1/1/2042,2042,2.421921234,2.668790776
1/1/2043,2043,2.951188943,0.879955859
1/1/2044,2044,0.826302234,1.914104943
1/1/2045,2045,0.723193443,0.516639026
1/1/2046,2046,0.881438568,2.397881151
1/1/2047,2047,2.412624943,2.604411401
1/1/2048,2048,2.273628818,1.337985276
1/1/2049,2049,1.298940651,1.206154359
1/1/2050,2050,1.847545484,2.943503609
1/1/2051,2051,1.384157026,3.320536776
1/1/2052,2052,1.182453609,2.158787234
1/1/2053,2053,2.641089651,2.580949651
1/1/2054,2054,2.101248984,4.076182568
1/1/2055,2055,1.183567526,2.895364776
1/1/2056,2056,1.848335818,2.310847526
1/1/2057,2057,3.011918943,3.403363984
1/1/2058,2058,2.808374276,2.607129984
1/1/2059,2059,0.931313068,2.929844443
1/1/2060,2060,0.315700943,2.602453109
1/1/2061,2061,0.167049984,3.040628276
1/1/2062,2062,1.541171276,1.721799776
1/1/2063,2063,1.876413193,3.767793651
1/1/2064,2064,2.288858359,2.741590318
1/1/2065,2065,2.444112693,3.536524901
1/1/2066,2066,0.697277651,2.720150526
1/1/2067,2067,1.768162401,2.870063026
1/1/2068,2068,1.583514484,2.998744318
1/1/2069,2069,2.027259109,2.991240693
1/1/2070,2070,1.624766609,3.180927818
1/1/2071,2071,1.299281234,3.910523026
1/1/2072,2072,1.486885651,3.438380443
1/1/2073,2073,2.296403776,2.848993234
1/1/2074,2074,2.246259484,3.247315151
1/1/2075,2075,0.847027401,3.509575484
1/1/2076,2076,3.071880859,3.817870359
1/1/2077,2077,1.699518026,1.938807651
1/1/2078,2078,1.038326859,4.030084484
1/1/2079,2079,2.066400484,4.255829401
1/1/2080,2080,2.804715859,3.213603234
1/1/2081,2081,2.165675359,2.204590359
1/1/2082,2082,2.818144943,3.215872943
1/1/2083,2083,2.471493359,3.637646276
1/1/2084,2084,1.246221484,4.143609859
1/1/2085,2085,1.028323443,3.998783734
1/1/2086,2086,1.454257234,3.144049859
1/1/2087,2087,3.214536484,3.325563401
1/1/2088,2088,1.457802359,4.067478734
1/1/2089,2089,2.074590568,3.183720276
1/1/2090,2090,2.030014526,4.031525276
1/1/2091,2091,0.522396651,4.670499818
1/1/2092,2092,2.137296609,5.893317401
1/1/2093,2093,2.006178984,4.566621734
1/1/2094,2094,1.758649651,4.600355068
1/1/2095,2095,1.339202151,2.602280276
1/1/2096,2096,3.125243526,5.166490401
1/1/2097,2097,1.585401484,4.706891859
1/1/2098,2098,2.298396318,3.430251359
1/1/2099,2099,1.955967443,5.085726859
